yiddish,transliteration
<MISSING>,a tsung oyf reder
<MISSING>,a tsung on beyner
<MISSING>,alter kaker
<MISSING>,ale zibn glikn
אחד,<MISSING>
<MISSING>,bobe-zeyde
<MISSING>,bobe-mayse
<MISSING>,bank-kvetsher
<MISSING>,bet dín
<MISSING>,ben-mélech
בעט,<MISSING>
בער,<MISSING>
<MISSING>,bereshít
<MISSING>,goldene yoykh
גנב,<MISSING>
<MISSING>,gefilte fish
<MISSING>,geshlifene tsung
דין,<MISSING>
<MISSING>,dire-gelt
<MISSING>,drek mit fefer
<MISSING>,zeyde-bobe
זמר,<MISSING>
חדר,<MISSING>
<MISSING>,khol hamo'éd
חומש,<MISSING>
חכם,<MISSING>
חמץ,<MISSING>
<MISSING>,khosn-kale
<MISSING>,tate-mame
<MISSING>,yunger-man
<MISSING>,yidishe gas
<MISSING>,yidishe tokhter
<MISSING>,yam-shtern
<MISSING>,yeytser hatoyv
<MISSING>,yétser hará
<MISSING>,yeshive-bokher
כתר,<MISSING>
לויתן,<MISSING>
<MISSING>,literarishe kritik
<MISSING>,loshn-koydesh
<MISSING>,mobil telefon
<MISSING>,mame-loshn
<MISSING>,muter-tseykhn
<MISSING>,moykher-sforim
מורא,<MISSING>
<MISSING>,meydlisher nomen
מלך,<MISSING>
<MISSING>,meylekh sabetskis yorn
<MISSING>,meylekh sobetskis yorn
<MISSING>,meylekh sabetskis tsaytn
<MISSING>,meylekh sobetskis tsaytn
<MISSING>,meylekh sabetskes yorn
מַסֶּכְתָּא,<MISSING>
<MISSING>,ma'ot ħitim
<MISSING>,matse bray
<MISSING>,metsiye fun a ganef
<MISSING>,natsyonal-sotsyalizm
נחת,<MISSING>
נַעַץ,<MISSING>
<MISSING>,neshome yeseyre
<MISSING>,seyfer-toyre
<MISSING>,'avodá zará
עד,<MISSING>
<MISSING>,'áyin hará'
<MISSING>,'am ha'árets
<MISSING>,kop oyf di pleytses
<MISSING>,kashe varnishkes
קישקע,<MISSING>
<MISSING>,komets-alef
קשיא,<MISSING>
ריח,<MISSING>
<MISSING>,refue shleyme
רשע,<MISSING>
<MISSING>,shabes goy
<MISSING>,shvarts yor
<MISSING>,shveytser kez
<MISSING>,shoyte ben pikholts
שַׁחֲרִית,<MISSING>
שמש,<MISSING>
שקל,<MISSING>
<MISSING>,tkhiyes hameysem
<MISSING>,tokhes-leker
<MISSING>,teyrets far di bentshlikht
<MISSING>,talmetoyre
<MISSING>,talmid-khokhem
